Date,Turbidity,Location
6/14/22,0.98,Inside
6/14/22,1.22,Inside
6/14/22,1.06,Inside
6/14/22,1.04,Inside
6/14/22,0.92,Inside
6/14/22,3.26,Outside
6/14/22,2.09,Outside
6/14/22,2.00,Outside
6/14/22,2.14,Outside
6/14/22,2.12,Outside
6/22/22,0.90,Inside
6/22/22,0.93,Inside
6/22/22,0.84,Inside
6/22/22,0.83,Inside
6/22/22,0.85,Inside
6/22/22,1.33,Outside
6/22/22,1.49,Outside
6/22/22,1.36,Outside
6/22/22,1.38,Outside
6/22/22,1.31,Outside
6/29/22,1.36,Inside
6/29/22,1.40,Inside
6/29/22,1.30,Inside
6/29/22,1.39,Inside
6/29/22,1.38,Inside
6/29/22,3.72,Outside
6/29/22,4.09,Outside
6/29/22,4.09,Outside
6/29/22,3.90,Outside
6/29/22,3.31,Outside
7/6/22,1.75,Inside
7/6/22,1.83,Inside
7/6/22,1.82,Inside
7/6/22,1.83,Inside
7/6/22,1.79,Inside
7/6/22,1.92,Outside
7/6/22,1.89,Outside
7/6/22,1.63,Outside
7/6/22,1.70,Outside
7/6/22,2.15,Outside
7/12/22,1.79,Inside
7/12/22,1.71,Inside
7/12/22,1.74,Inside
7/12/22,1.80,Inside
7/12/22,1.87,Inside
7/12/22,2.28,Outside
7/12/22,2.13,Outside
7/12/22,2.38,Outside
7/12/22,2.68,Outside
7/12/22,2.22,Outside
7/19/22,1.94,Inside
7/19/22,1.94,Inside
7/19/22,1.92,Inside
7/19/22,1.96,Inside
7/19/22,1.95,Inside
7/19/22,4.53,Outside
7/19/22,3.85,Outside
7/19/22,4.02,Outside
7/19/22,4.13,Outside
7/19/22,3.99,Outside
7/27/22,2.92,Inside
7/27/22,3.15,Inside
7/27/22,2.70,Inside
7/27/22,2.81,Inside
7/27/22,3.00,Inside
7/27/22,3.61,Outside
7/27/22,3.47,Outside
7/27/22,3.61,Outside
7/27/22,3.55,Outside
7/27/22,3.56,Outside